ᇔ	HANGUL JONGSEONG RIEUL-PIEUP-HIEUH (U+11D4)	e18794
ᇕ	HANGUL JONGSEONG RIEUL-KAPYEOUNPIEUP (U+11D5)	e18795
ᇖ	HANGUL JONGSEONG RIEUL-SSANGSIOS (U+11D6)	e18796
ᇗ	HANGUL JONGSEONG RIEUL-PANSIOS (U+11D7)	e18797
ᇘ	HANGUL JONGSEONG RIEUL-KHIEUKH (U+11D8)	e18798
ᇙ	HANGUL JONGSEONG RIEUL-YEORINHIEUH (U+11D9)	e18799
ᇚ	HANGUL JONGSEONG MIEUM-KIYEOK (U+11DA)	e1879a
ᇛ	HANGUL JONGSEONG MIEUM-RIEUL (U+11DB)	e1879b
ᇜ	HANGUL JONGSEONG MIEUM-PIEUP (U+11DC)	e1879c
ᇝ	HANGUL JONGSEONG MIEUM-SIOS (U+11DD)	e1879d
ᇞ	HANGUL JONGSEONG MIEUM-SSANGSIOS (U+11DE)	e1879e
ᇟ	HANGUL JONGSEONG MIEUM-PANSIOS (U+11DF)	e1879f
ᇠ	HANGUL JONGSEONG MIEUM-CHIEUCH (U+11E0)	e187a0
ᇡ	HANGUL JONGSEONG MIEUM-HIEUH (U+11E1)	e187a1
ᇢ	HANGUL JONGSEONG KAPYEOUNMIEUM (U+11E2)	e187a2
ᇣ	HANGUL JONGSEONG PIEUP-RIEUL (U+11E3)	e187a3
ᇤ	HANGUL JONGSEONG PIEUP-PHIEUPH (U+11E4)	e187a4
ᇥ	HANGUL JONGSEONG PIEUP-HIEUH (U+11E5)	e187a5
ᇦ	HANGUL JONGSEONG KAPYEOUNPIEUP (U+11E6)	e187a6
ᇧ	HANGUL JONGSEONG SIOS-KIYEOK (U+11E7)	e187a7
ᇨ	HANGUL JONGSEONG SIOS-TIKEUT (U+11E8)	e187a8
ᇩ	HANGUL JONGSEONG SIOS-RIEUL (U+11E9)	e187a9
ᇪ	HANGUL JONGSEONG SIOS-PIEUP (U+11EA)	e187aa
ᇫ	HANGUL JONGSEONG PANSIOS (U+11EB)	e187ab
ᇬ	HANGUL JONGSEONG IEUNG-KIYEOK (U+11EC)	e187ac
ᇭ	HANGUL JONGSEONG IEUNG-SSANGKIYEOK (U+11ED)	e187ad
ᇮ	HANGUL JONGSEONG SSANGIEUNG (U+11EE)	e187ae
ᇯ	HANGUL JONGSEONG IEUNG-KHIEUKH (U+11EF)	e187af
ᇰ	HANGUL JONGSEONG YESIEUNG (U+11F0)	e187b0
ᇱ	HANGUL JONGSEONG YESIEUNG-SIOS (U+11F1)	e187b1
ᇲ	HANGUL JONGSEONG YESIEUNG-PANSIOS (U+11F2)	e187b2
ᇳ	HANGUL JONGSEONG PHIEUPH-PIEUP (U+11F3)	e187b3
ᇴ	HANGUL JONGSEONG KAPYEOUNPHIEUPH (U+11F4)	e187b4
ᇵ	HANGUL JONGSEONG HIEUH-NIEUN (U+11F5)	e187b5
ᇶ	HANGUL JONGSEONG HIEUH-RIEUL (U+11F6)	e187b6
ᇷ	HANGUL JONGSEONG HIEUH-MIEUM (U+11F7)	e187b7
ᇸ	HANGUL JONGSEONG HIEUH-PIEUP (U+11F8)	e187b8
ᇹ	HANGUL JONGSEONG YEORINHIEUH (U+11F9)	e187b9
ᇺ	HANGUL JONGSEONG KIYEOK-NIEUN (U+11FA)	e187ba
ᇻ	HANGUL JONGSEONG KIYEOK-PIEUP (U+11FB)	e187bb
ᇼ	HANGUL JONGSEONG KIYEOK-CHIEUCH (U+11FC)	e187bc
ᇽ	HANGUL JONGSEONG KIYEOK-KHIEUKH (U+11FD)	e187bd
ᇾ	HANGUL JONGSEONG KIYEOK-HIEUH (U+11FE)	e187be
ᇿ	HANGUL JONGSEONG SSANGNIEUN (U+11FF)	e187bf
ሀ	ETHIOPIC SYLLABLE HA (U+1200)	e18880
ሁ	ETHIOPIC SYLLABLE HU (U+1201)	e18881
ሂ	ETHIOPIC SYLLABLE HI (U+1202)	e18882
ሃ	ETHIOPIC SYLLABLE HAA (U+1203)	e18883
ሄ	ETHIOPIC SYLLABLE HEE (U+1204)	e18884
ህ	ETHIOPIC SYLLABLE HE (U+1205)	e18885
ሆ	ETHIOPIC SYLLABLE HO (U+1206)	e18886
ሇ	ETHIOPIC SYLLABLE HOA (U+1207)	e18887
ለ	ETHIOPIC SYLLABLE LA (U+1208)	e18888
ሉ	ETHIOPIC SYLLABLE LU (U+1209)	e18889
ሊ	ETHIOPIC SYLLABLE LI (U+120A)	e1888a
ላ	ETHIOPIC SYLLABLE LAA (U+120B)	e1888b
ሌ	ETHIOPIC SYLLABLE LEE (U+120C)	e1888c
ል	ETHIOPIC SYLLABLE LE (U+120D)	e1888d
ሎ	ETHIOPIC SYLLABLE LO (U+120E)	e1888e
ሏ	ETHIOPIC SYLLABLE LWA (U+120F)	e1888f
ሐ	ETHIOPIC SYLLABLE HHA (U+1210)	e18890
ሑ	ETHIOPIC SYLLABLE HHU (U+1211)	e18891
ሒ	ETHIOPIC SYLLABLE HHI (U+1212)	e18892
ሓ	ETHIOPIC SYLLABLE HHAA (U+1213)	e18893
ሔ	ETHIOPIC SYLLABLE HHEE (U+1214)	e18894
ሕ	ETHIOPIC SYLLABLE HHE (U+1215)	e18895
ሖ	ETHIOPIC SYLLABLE HHO (U+1216)	e18896
ሗ	ETHIOPIC SYLLABLE HHWA (U+1217)	e18897
መ	ETHIOPIC SYLLABLE MA (U+1218)	e18898
ሙ	ETHIOPIC SYLLABLE MU (U+1219)	e18899
ሚ	ETHIOPIC SYLLABLE MI (U+121A)	e1889a
ማ	ETHIOPIC SYLLABLE MAA (U+121B)	e1889b
ሜ	ETHIOPIC SYLLABLE MEE (U+121C)	e1889c
ም	ETHIOPIC SYLLABLE ME (U+121D)	e1889d
ሞ	ETHIOPIC SYLLABLE MO (U+121E)	e1889e
ሟ	ETHIOPIC SYLLABLE MWA (U+121F)	e1889f
ሠ	ETHIOPIC SYLLABLE SZA (U+1220)	e188a0
ሡ	ETHIOPIC SYLLABLE SZU (U+1221)	e188a1
ሢ	ETHIOPIC SYLLABLE SZI (U+1222)	e188a2
ሣ	ETHIOPIC SYLLABLE SZAA (U+1223)	e188a3
ሤ	ETHIOPIC SYLLABLE SZEE (U+1224)	e188a4
ሥ	ETHIOPIC SYLLABLE SZE (U+1225)	e188a5
ሦ	ETHIOPIC SYLLABLE SZO (U+1226)	e188a6
ሧ	ETHIOPIC SYLLABLE SZWA (U+1227)	e188a7
ረ	ETHIOPIC SYLLABLE RA (U+1228)	e188a8
ሩ	ETHIOPIC SYLLABLE RU (U+1229)	e188a9
ሪ	ETHIOPIC SYLLABLE RI (U+122A)	e188aa
ራ	ETHIOPIC SYLLABLE RAA (U+122B)	e188ab
ሬ	ETHIOPIC SYLLABLE REE (U+122C)	e188ac
ር	ETHIOPIC SYLLABLE RE (U+122D)	e188ad
ሮ	ETHIOPIC SYLLABLE RO (U+122E)	e188ae
ሯ	ETHIOPIC SYLLABLE RWA (U+122F)	e188af
ሰ	ETHIOPIC SYLLABLE SA (U+1230)	e188b0
ሱ	ETHIOPIC SYLLABLE SU (U+1231)	e188b1
ሲ	ETHIOPIC SYLLABLE SI (U+1232)	e188b2
ሳ	ETHIOPIC SYLLABLE SAA (U+1233)	e188b3
ሴ	ETHIOPIC SYLLABLE SEE (U+1234)	e188b4
ስ	ETHIOPIC SYLLABLE SE (U+1235)	e188b5
ሶ	ETHIOPIC SYLLABLE SO (U+1236)	e188b6
ሷ	ETHIOPIC SYLLABLE SWA (U+1237)	e188b7
ሸ	ETHIOPIC SYLLABLE SHA (U+1238)	e188b8
ሹ	ETHIOPIC SYLLABLE SHU (U+1239)	e188b9
ሺ	ETHIOPIC SYLLABLE SHI (U+123A)	e188ba
ሻ	ETHIOPIC SYLLABLE SHAA (U+123B)	e188bb
ሼ	ETHIOPIC SYLLABLE SHEE (U+123C)	e188bc
ሽ	ETHIOPIC SYLLABLE SHE (U+123D)	e188bd
ሾ	ETHIOPIC SYLLABLE SHO (U+123E)	e188be
ሿ	ETHIOPIC SYLLABLE SHWA (U+123F)	e188bf
ቀ	ETHIOPIC SYLLABLE QA (U+1240)	e18980
ቁ	ETHIOPIC SYLLABLE QU (U+1241)	e18981
ቂ	ETHIOPIC SYLLABLE QI (U+1242)	e18982
ቃ	ETHIOPIC SYLLABLE QAA (U+1243)	e18983
ቄ	ETHIOPIC SYLLABLE QEE (U+1244)	e18984
ቅ	ETHIOPIC SYLLABLE QE (U+1245)	e18985
ቆ	ETHIOPIC SYLLABLE QO (U+1246)	e18986
ቇ	ETHIOPIC SYLLABLE QOA (U+1247)	e18987
ቈ	ETHIOPIC SYLLABLE QWA (U+1248)	e18988
ቊ	ETHIOPIC SYLLABLE QWI (U+124A)	e1898a
ቋ	ETHIOPIC SYLLABLE QWAA (U+124B)	e1898b
ቌ	ETHIOPIC SYLLABLE QWEE (U+124C)	e1898c
ቍ	ETHIOPIC SYLLABLE QWE (U+124D)	e1898d
ቐ	ETHIOPIC SYLLABLE QHA (U+1250)	e18990
ቑ	ETHIOPIC SYLLABLE QHU (U+1251)	e18991
ቒ	ETHIOPIC SYLLABLE QHI (U+1252)	e18992
ቓ	ETHIOPIC SYLLABLE QHAA (U+1253)	e18993
ቔ	ETHIOPIC SYLLABLE QHEE (U+1254)	e18994
ቕ	ETHIOPIC SYLLABLE QHE (U+1255)	e18995
ቖ	ETHIOPIC SYLLABLE QHO (U+1256)	e18996
ቘ	ETHIOPIC SYLLABLE QHWA (U+1258)	e18998
ቚ	ETHIOPIC SYLLABLE QHWI (U+125A)	e1899a
ቛ	ETHIOPIC SYLLABLE QHWAA (U+125B)	e1899b
ቜ	ETHIOPIC SYLLABLE QHWEE (U+125C)	e1899c
ቝ	ETHIOPIC SYLLABLE QHWE (U+125D)	e1899d
በ	ETHIOPIC SYLLABLE BA (U+1260)	e189a0
ቡ	ETHIOPIC SYLLABLE BU (U+1261)	e189a1
ቢ	ETHIOPIC SYLLABLE BI (U+1262)	e189a2
ባ	ETHIOPIC SYLLABLE BAA (U+1263)	e189a3
ቤ	ETHIOPIC SYLLABLE BEE (U+1264)	e189a4
ብ	ETHIOPIC SYLLABLE BE (U+1265)	e189a5
ቦ	ETHIOPIC SYLLABLE BO (U+1266)	e189a6
ቧ	ETHIOPIC SYLLABLE BWA (U+1267)	e189a7
ቨ	ETHIOPIC SYLLABLE VA (U+1268)	e189a8
ቩ	ETHIOPIC SYLLABLE VU (U+1269)	e189a9
ቪ	ETHIOPIC SYLLABLE VI (U+126A)	e189aa
ቫ	ETHIOPIC SYLLABLE VAA (U+126B)	e189ab
ቬ	ETHIOPIC SYLLABLE VEE (U+126C)	e189ac
ቭ	ETHIOPIC SYLLABLE VE (U+126D)	e189ad
ቮ	ETHIOPIC SYLLABLE VO (U+126E)	e189ae
ቯ	ETHIOPIC SYLLABLE VWA (U+126F)	e189af
ተ	ETHIOPIC SYLLABLE TA (U+1270)	e189b0
ቱ	ETHIOPIC SYLLABLE TU (U+1271)	e189b1
ቲ	ETHIOPIC SYLLABLE TI (U+1272)	e189b2
ታ	ETHIOPIC SYLLABLE TAA (U+1273)	e189b3
ቴ	ETHIOPIC SYLLABLE TEE (U+1274)	e189b4
ት	ETHIOPIC SYLLABLE TE (U+1275)	e189b5
ቶ	ETHIOPIC SYLLABLE TO (U+1276)	e189b6
ቷ	ETHIOPIC SYLLABLE TWA (U+1277)	e189b7
ቸ	ETHIOPIC SYLLABLE CA (U+1278)	e189b8
ቹ	ETHIOPIC SYLLABLE CU (U+1279)	e189b9
ቺ	ETHIOPIC SYLLABLE CI (U+127A)	e189ba
ቻ	ETHIOPIC SYLLABLE CAA (U+127B)	e189bb
ቼ	ETHIOPIC SYLLABLE CEE (U+127C)	e189bc
ች	ETHIOPIC SYLLABLE CE (U+127D)	e189bd
ቾ	ETHIOPIC SYLLABLE CO (U+127E)	e189be
ቿ	ETHIOPIC SYLLABLE CWA (U+127F)	e189bf
ኀ	ETHIOPIC SYLLABLE XA (U+1280)	e18a80
ኁ	ETHIOPIC SYLLABLE XU (U+1281)	e18a81
ኂ	ETHIOPIC SYLLABLE XI (U+1282)	e18a82
ኃ	ETHIOPIC SYLLABLE XAA (U+1283)	e18a83
ኄ	ETHIOPIC SYLLABLE XEE (U+1284)	e18a84
ኅ	ETHIOPIC SYLLABLE XE (U+1285)	e18a85
ኆ	ETHIOPIC SYLLABLE XO (U+1286)	e18a86
ኇ	ETHIOPIC SYLLABLE XOA (U+1287)	e18a87
ኈ	ETHIOPIC SYLLABLE XWA (U+1288)	e18a88
ኊ	ETHIOPIC SYLLABLE XWI (U+128A)	e18a8a
ኋ	ETHIOPIC SYLLABLE XWAA (U+128B)	e18a8b
ኌ	ETHIOPIC SYLLABLE XWEE (U+128C)	e18a8c
ኍ	ETHIOPIC SYLLABLE XWE (U+128D)	e18a8d
ነ	ETHIOPIC SYLLABLE NA (U+1290)	e18a90
ኑ	ETHIOPIC SYLLABLE NU (U+1291)	e18a91
ኒ	ETHIOPIC SYLLABLE NI (U+1292)	e18a92
ና	ETHIOPIC SYLLABLE NAA (U+1293)	e18a93
ኔ	ETHIOPIC SYLLABLE NEE (U+1294)	e18a94
ን	ETHIOPIC SYLLABLE NE (U+1295)	e18a95
ኖ	ETHIOPIC SYLLABLE NO (U+1296)	e18a96
ኗ	ETHIOPIC SYLLABLE NWA (U+1297)	e18a97
ኘ	ETHIOPIC SYLLABLE NYA (U+1298)	e18a98
ኙ	ETHIOPIC SYLLABLE NYU (U+1299)	e18a99
ኚ	ETHIOPIC SYLLABLE NYI (U+129A)	e18a9a
ኛ	ETHIOPIC SYLLABLE NYAA (U+129B)	e18a9b
ኜ	ETHIOPIC SYLLABLE NYEE (U+129C)	e18a9c
ኝ	ETHIOPIC SYLLABLE NYE (U+129D)	e18a9d
ኞ	ETHIOPIC SYLLABLE NYO (U+129E)	e18a9e
ኟ	ETHIOPIC SYLLABLE NYWA (U+129F)	e18a9f
አ	ETHIOPIC SYLLABLE GLOTTAL A (U+12A0)	e18aa0
ኡ	ETHIOPIC SYLLABLE GLOTTAL U (U+12A1)	e18aa1
ኢ	ETHIOPIC SYLLABLE GLOTTAL I (U+12A2)	e18aa2
ኣ	ETHIOPIC SYLLABLE GLOTTAL AA (U+12A3)	e18aa3
ኤ	ETHIOPIC SYLLABLE GLOTTAL EE (U+12A4)	e18aa4
እ	ETHIOPIC SYLLABLE GLOTTAL E (U+12A5)	e18aa5
ኦ	ETHIOPIC SYLLABLE GLOTTAL O (U+12A6)	e18aa6
ኧ	ETHIOPIC SYLLABLE GLOTTAL WA (U+12A7)	e18aa7
ከ	ETHIOPIC SYLLABLE KA (U+12A8)	e18aa8
ኩ	ETHIOPIC SYLLABLE KU (U+12A9)	e18aa9
ኪ	ETHIOPIC SYLLABLE KI (U+12AA)	e18aaa
ካ	ETHIOPIC SYLLABLE KAA (U+12AB)	e18aab
ኬ	ETHIOPIC SYLLABLE KEE (U+12AC)	e18aac
ክ	ETHIOPIC SYLLABLE KE (U+12AD)	e18aad
ኮ	ETHIOPIC SYLLABLE KO (U+12AE)	e18aae
ኯ	ETHIOPIC SYLLABLE KOA (U+12AF)	e18aaf
ኰ	ETHIOPIC SYLLABLE KWA (U+12B0)	e18ab0
ኲ	ETHIOPIC SYLLABLE KWI (U+12B2)	e18ab2
ኳ	ETHIOPIC SYLLABLE KWAA (U+12B3)	e18ab3
ኴ	ETHIOPIC SYLLABLE KWEE (U+12B4)	e18ab4
ኵ	ETHIOPIC SYLLABLE KWE (U+12B5)	e18ab5
ኸ	ETHIOPIC SYLLABLE KXA (U+12B8)	e18ab8
ኹ	ETHIOPIC SYLLABLE KXU (U+12B9)	e18ab9
ኺ	ETHIOPIC SYLLABLE KXI (U+12BA)	e18aba
ኻ	ETHIOPIC SYLLABLE KXAA (U+12BB)	e18abb
ኼ	ETHIOPIC SYLLABLE KXEE (U+12BC)	e18abc
ኽ	ETHIOPIC SYLLABLE KXE (U+12BD)	e18abd
ኾ	ETHIOPIC SYLLABLE KXO (U+12BE)	e18abe
ዀ	ETHIOPIC SYLLABLE KXWA (U+12C0)	e18b80
ዂ	ETHIOPIC SYLLABLE KXWI (U+12C2)	e18b82
ዃ	ETHIOPIC SYLLABLE KXWAA (U+12C3)	e18b83
ዄ	ETHIOPIC SYLLABLE KXWEE (U+12C4)	e18b84
ዅ	ETHIOPIC SYLLABLE KXWE (U+12C5)	e18b85
ወ	ETHIOPIC SYLLABLE WA (U+12C8)	e18b88
ዉ	ETHIOPIC SYLLABLE WU (U+12C9)	e18b89
ዊ	ETHIOPIC SYLLABLE WI (U+12CA)	e18b8a
ዋ	ETHIOPIC SYLLABLE WAA (U+12CB)	e18b8b
ዌ	ETHIOPIC SYLLABLE WEE (U+12CC)	e18b8c
ው	ETHIOPIC SYLLABLE WE (U+12CD)	e18b8d
ዎ	ETHIOPIC SYLLABLE WO (U+12CE)	e18b8e
ዏ	ETHIOPIC SYLLABLE WOA (U+12CF)	e18b8f
ዐ	ETHIOPIC SYLLABLE PHARYNGEAL A (U+12D0)	e18b90
ዑ	ETHIOPIC SYLLABLE PHARYNGEAL U (U+12D1)	e18b91
ዒ	ETHIOPIC SYLLABLE PHARYNGEAL I (U+12D2)	e18b92
ዓ	ETHIOPIC SYLLABLE PHARYNGEAL AA (U+12D3)	e18b93
ዔ	ETHIOPIC SYLLABLE PHARYNGEAL EE (U+12D4)	e18b94
ዕ	ETHIOPIC SYLLABLE PHARYNGEAL E (U+12D5)	e18b95
ዖ	ETHIOPIC SYLLABLE PHARYNGEAL O (U+12D6)	e18b96
ዘ	ETHIOPIC SYLLABLE ZA (U+12D8)	e18b98
ዙ	ETHIOPIC SYLLABLE ZU (U+12D9)	e18b99
ዚ	ETHIOPIC SYLLABLE ZI (U+12DA)	e18b9a
ዛ	ETHIOPIC SYLLABLE ZAA (U+12DB)	e18b9b
ዜ	ETHIOPIC SYLLABLE ZEE (U+12DC)	e18b9c
ዝ	ETHIOPIC SYLLABLE ZE (U+12DD)	e18b9d
ዞ	ETHIOPIC SYLLABLE ZO (U+12DE)	e18b9e
ዟ	ETHIOPIC SYLLABLE ZWA (U+12DF)	e18b9f
ዠ	ETHIOPIC SYLLABLE ZHA (U+12E0)	e18ba0
ዡ	ETHIOPIC SYLLABLE ZHU (U+12E1)	e18ba1
ዢ	ETHIOPIC SYLLABLE ZHI (U+12E2)	e18ba2
ዣ	ETHIOPIC SYLLABLE ZHAA (U+12E3)	e18ba3
ዤ	ETHIOPIC SYLLABLE ZHEE (U+12E4)	e18ba4
ዥ	ETHIOPIC SYLLABLE ZHE (U+12E5)	e18ba5
ዦ	ETHIOPIC SYLLABLE ZHO (U+12E6)	e18ba6
ዧ	ETHIOPIC SYLLABLE ZHWA (U+12E7)	e18ba7
የ	ETHIOPIC SYLLABLE YA (U+12E8)	e18ba8
ዩ	ETHIOPIC SYLLABLE YU (U+12E9)	e18ba9
ዪ	ETHIOPIC SYLLABLE YI (U+12EA)	e18baa
ያ	ETHIOPIC SYLLABLE YAA (U+12EB)	e18bab
ዬ	ETHIOPIC SYLLABLE YEE (U+12EC)	e18bac
ይ	ETHIOPIC SYLLABLE YE (U+12ED)	e18bad
ዮ	ETHIOPIC SYLLABLE YO (U+12EE)	e18bae
ዯ	ETHIOPIC SYLLABLE YOA (U+12EF)	e18baf
ደ	ETHIOPIC SYLLABLE DA (U+12F0)	e18bb0
ዱ	ETHIOPIC SYLLABLE DU (U+12F1)	e18bb1
ዲ	ETHIOPIC SYLLABLE DI (U+12F2)	e18bb2
ዳ	ETHIOPIC SYLLABLE DAA (U+12F3)	e18bb3
ዴ	ETHIOPIC SYLLABLE DEE (U+12F4)	e18bb4
ድ	ETHIOPIC SYLLABLE DE (U+12F5)	e18bb5
ዶ	ETHIOPIC SYLLABLE DO (U+12F6)	e18bb6
ዷ	ETHIOPIC SYLLABLE DWA (U+12F7)	e18bb7
ዸ	ETHIOPIC SYLLABLE DDA (U+12F8)	e18bb8
ዹ	ETHIOPIC SYLLABLE DDU (U+12F9)	e18bb9
ዺ	ETHIOPIC SYLLABLE DDI (U+12FA)	e18bba
ዻ	ETHIOPIC SYLLABLE DDAA (U+12FB)	e18bbb
ዼ	ETHIOPIC SYLLABLE DDEE (U+12FC)	e18bbc
ዽ	ETHIOPIC SYLLABLE DDE (U+12FD)	e18bbd
ዾ	ETHIOPIC SYLLABLE DDO (U+12FE)	e18bbe
ዿ	ETHIOPIC SYLLABLE DDWA (U+12FF)	e18bbf
ጀ	ETHIOPIC SYLLABLE JA (U+1300)	e18c80
ጁ	ETHIOPIC SYLLABLE JU (U+1301)	e18c81
ጂ	ETHIOPIC SYLLABLE JI (U+1302)	e18c82
ጃ	ETHIOPIC SYLLABLE JAA (U+1303)	e18c83
ጄ	ETHIOPIC SYLLABLE JEE (U+1304)	e18c84
ጅ	ETHIOPIC SYLLABLE JE (U+1305)	e18c85
ጆ	ETHIOPIC SYLLABLE JO (U+1306)	e18c86
ጇ	ETHIOPIC SYLLABLE JWA (U+1307)	e18c87
ገ	ETHIOPIC SYLLABLE GA (U+1308)	e18c88
ጉ	ETHIOPIC SYLLABLE GU (U+1309)	e18c89
ጊ	ETHIOPIC SYLLABLE GI (U+130A)	e18c8a
ጋ	ETHIOPIC SYLLABLE GAA (U+130B)	e18c8b
ጌ	ETHIOPIC SYLLABLE GEE (U+130C)	e18c8c
ግ	ETHIOPIC SYLLABLE GE (U+130D)	e18c8d
ጎ	ETHIOPIC SYLLABLE GO (U+130E)	e18c8e
ጏ	ETHIOPIC SYLLABLE GOA (U+130F)	e18c8f
ጐ	ETHIOPIC SYLLABLE GWA (U+1310)	e18c90
ጒ	ETHIOPIC SYLLABLE GWI (U+1312)	e18c92
ጓ	ETHIOPIC SYLLABLE GWAA (U+1313)	e18c93
ጔ	ETHIOPIC SYLLABLE GWEE (U+1314)	e18c94
ጕ	ETHIOPIC SYLLABLE GWE (U+1315)	e18c95
ጘ	ETHIOPIC SYLLABLE GGA (U+1318)	e18c98
ጙ	ETHIOPIC SYLLABLE GGU (U+1319)	e18c99
ጚ	ETHIOPIC SYLLABLE GGI (U+131A)	e18c9a
ጛ	ETHIOPIC SYLLABLE GGAA (U+131B)	e18c9b
ጜ	ETHIOPIC SYLLABLE GGEE (U+131C)	e18c9c
ጝ	ETHIOPIC SYLLABLE GGE (U+131D)	e18c9d
ጞ	ETHIOPIC SYLLABLE GGO (U+131E)	e18c9e
ጟ	ETHIOPIC SYLLABLE GGWAA (U+131F)	e18c9f
ጠ	ETHIOPIC SYLLABLE THA (U+1320)	e18ca0
ጡ	ETHIOPIC SYLLABLE THU (U+1321)	e18ca1
ጢ	ETHIOPIC SYLLABLE THI (U+1322)	e18ca2
ጣ	ETHIOPIC SYLLABLE THAA (U+1323)	e18ca3
ጤ	ETHIOPIC SYLLABLE THEE (U+1324)	e18ca4
ጥ	ETHIOPIC SYLLABLE THE (U+1325)	e18ca5
ጦ	ETHIOPIC SYLLABLE THO (U+1326)	e18ca6
ጧ	ETHIOPIC SYLLABLE THWA (U+1327)	e18ca7
More...


’




